geohash6,label_weekly_raw,label_weekly,label_daily,label_quarterly,active_rate
qp02yc,0,5,1,3,0.09853142076502733
qp02yf,0,4,6,0,0.015198087431693989
qp02yu,0,0,1,4,0.00034153005464480874
qp02yv,0,0,1,0,0.0011953551912568306
qp02yy,0,4,1,0,0.018101092896174863
qp02yz,0,5,1,3,0.15010245901639344
qp02z1,0,5,6,5,0.19689207650273224
qp02z3,0,4,6,2,0.09682377049180328
qp02z4,0,4,6,3,0.07650273224043716
qp02z5,0,3,6,2,0.2546106557377049
qp02z6,0,6,6,3,0.30396174863387976
qp02z7,5,6,1,3,0.42059426229508196
qp02z9,0,6,6,7,0.2032103825136612
qp02zc,0,6,6,3,0.3782445355191257
qp02zd,0,6,6,3,0.41120218579234974
qp02ze,5,6,6,3,0.5148565573770492
qp02zf,2,6,6,3,0.18135245901639344
qp02zg,0,6,6,3,0.3707308743169399
qp02zh,5,3,6,2,0.5099043715846995
qp02zj,2,6,6,3,0.557035519125683
qp02zk,0,6,6,3,0.39976092896174864
qp02zm,5,6,6,3,0.5332991803278688
qp02zn,5,6,6,3,0.5698428961748634
qp02zp,5,6,6,3,0.5228825136612022
qp02zq,5,6,3,3,0.4339139344262295
qp02zr,5,6,6,3,0.6014344262295082
qp02zs,5,6,6,3,0.505464480874317
qp02zt,2,6,6,3,0.7914959016393442
qp02zu,0,6,6,3,0.3157445355191257
qp02zv,5,6,6,3,0.47421448087431695
qp02zw,3,6,1,3,0.7399248633879781
qp02zx,4,6,6,2,0.735655737704918
qp02zy,2,6,6,3,0.663422131147541
qp02zz,3,6,1,3,0.8186475409836066
qp03jq,0,6,5,3,0.7930327868852459
qp03jr,0,1,5,6,0.8142076502732241
qp03jw,0,1,5,3,0.8159153005464481
qp03jx,0,5,5,3,0.7988387978142076
qp03jy,0,1,5,6,0.8278688524590164
qp03jz,0,1,5,6,0.8200136612021858
qp03m2,0,1,5,6,0.6912568306010929
qp03m3,0,1,1,6,0.4405737704918033
qp03m6,5,6,5,7,0.8814890710382514
qp03m7,0,1,5,6,0.7204576502732241
qp03m8,0,6,5,3,0.7595628415300546
qp03m9,0,1,5,6,0.7675887978142076
qp03mb,5,6,5,7,0.9445013661202186
qp03mc,0,6,5,3,0.7942281420765027
qp03md,0,1,2,6,0.7400956284153005
qp03me,0,2,2,7,0.8925887978142076
qp03mf,0,6,5,3,0.8944672131147541
qp03mg,2,3,5,2,0.9875341530054644
qp03mk,0,1,5,6,0.5771857923497268
qp03mm,0,5,5,6,0.32564890710382516
qp03mq,0,1,5,6,0.5324453551912568
qp03mr,0,1,5,6,0.390198087431694
qp03ms,0,1,5,6,0.7149931693989071
qp03mt,0,1,5,6,0.8797814207650273
qp03mu,5,2,5,7,0.9392076502732241
qp03mv,5,1,2,6,0.9156420765027322
qp03mw,0,1,5,6,0.8307718579234973
qp03mx,0,5,1,6,0.22865437158469945
qp03my,5,1,2,6,0.9566256830601093
